OE,Produkt,Teilprodukt,"Aufwand/
Ertrag",ILV,Kostenartengruppe,2014,2015,2016,2017,Abweichung 2016-2015,Abweichung 2017-2016
,,,,,16   Abschreibungen,-3150.89, -      , -      , -      , -      , -      
,,,,,19   sonstige ordentliche Aufwendungen,-36607.1, -      , -      , -      , -      , -      
,,,,,24   außerordentliche Aufwendungen,-38346.95, -      , -      , -      , -      , -      
,,,Ertrag,,,13790.96, -      , -      , -      , -      , -      
,,,,nein,,13790.96, -      , -      , -      , -      , -      
,,,,,11   sonstige ordentliche Erträge,13790.96, -      , -      , -      , -      , -      
,"1.100.3.6.3.05  sonst.Maßn.d. Kinder-, Jugd.-u.Fam.hilfe",,,,,-758044.92,-671384,-255134.72,-200296.88,416249.28,54837.84
,,1.100.3.6.3.05.01  Offene Ganztagsangebote an Grundschulen,,,,-303286.53,-402600, -      , -      ,402600, -      
,,,Aufwand,,,-303286.53,-402600, -      , -      ,402600, -      
,,,,nein,,-303286.53,-402600, -      , -      ,402600, -      
,,,,,18   Transferaufwendungen,-303286.53,-402600, -      , -      ,402600, -      
,,1.100.3.6.3.05.02  Offene Ganztagsangebote Sek.I-Bereich,,,,-132581.03,-71608,-53608,-53608,18000, -      
,,,Aufwand,,,-132581.03,-71608,-53608,-53608,18000, -      
,,,,nein,,-132581.03,-71608,-53608,-53608,18000, -      
,,,,,13   Aufwendungen für aktives Personal,-29162.48, -      , -      , -      , -      , -      
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-3793.91, -      , -      , -      , -      , -      
,,,,,18   Transferaufwendungen,-99124.74,-71608,-53608,-53608,18000, -      
,,,,,19   sonstige ordentliche Aufwendungen,-499.9, -      , -      , -      , -      , -      
,,1.100.3.6.3.05.03  Unterstützende Maßnahmen,,,,-322177.36,-197176,-201526.72,-146688.88,-4350.72,54837.84
,,,Aufwand,,,-382564.34,-197176,-210958.72,-148111.96,-13782.72,62846.76
,,,,nein,,-382564.34,-197176,-210958.72,-148111.96,-13782.72,62846.76
,,,,,13   Aufwendungen für aktives Personal,-253696.52,-141665.88,-155170,-90764.68,-13504.12,64405.32
,,,,,14   Aufwendungen für Versorgung,-13938.71,-20784.36,-19914.72,-21549.36,869.64,-1634.64
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-69502.82,-33200,-34200,-34200,-1000, -      
,,,,,19   sonstige ordentliche Aufwendungen,-36652.39,-1525.76,-1674,-1597.92,-148.24,76.08
,,,,,24   außerordentliche Aufwendungen,-8773.9, -      , -      , -      , -      , -      
,,,Ertrag,,,60386.98, -      ,9432,1423.08,9432,-8008.92
,,,,nein,,60386.98, -      ,9432,1423.08,9432,-8008.92
,,,,,  2   Zuwendungen und allgemeine Umlagen,50645.1, -      , -      , -      , -      , -      
,,,,,  5   öffentlich-rechtliche Entgelte,1560, -      , -      , -      , -      , -      
,,,,,  6   privatrechtliche Entgelte,510, -      , -      , -      , -      , -      
,,,,,  7   Kostenerstattungen und Kostenumlagen,4516.46, -      , -      , -      , -      , -      
,,,,,11   sonstige ordentliche Erträge,3155.42, -      ,9432,1423.08,9432,-8008.92
,1.100.3.6.3.06  Beistandschaft/ Vormundschaft,,,,, -      ,-911335.55,-1053340.42,-1057654.53,-142004.87,-4314.11
,,"1.100.3.6.3.06.41  Amtspflegschaft, Amtsvormundschaft",,,, -      ,-317948.16,-432591.57,-426294.29,-114643.41,6297.28
,,,Aufwand,,, -      ,-317948.16,-437831.73,-427061.21,-119883.57,10770.52
,,,,nein,, -      ,-317948.16,-437831.73,-427061.21,-119883.57,10770.52
,,,,,13   Aufwendungen für aktives Personal, -      ,-280282.08,-371269.57,-367565.16,-90987.49,3704.41
,,,,,14   Aufwendungen für Versorgung, -      ,-7767.12,-11064,-11613.85,-3296.88,-549.85
,,,,,15   Aufwendungen für Sach-/Dienstleistungen, -      ,-213.24,-1329.56,-1321.72,-1116.32,7.84
,,,,,16   Abschreibungen, -      ,-1015.64,-982.52,-722.64,33.12,259.88
,,,,,19   sonstige ordentliche Aufwendungen, -      ,-28670.08,-53186.08,-45837.84,-24516,7348.24
,,,Ertrag,,, -      , -      ,5240.16,766.92,5240.16,-4473.24
,,,,nein,, -      , -      ,5240.16,766.92,5240.16,-4473.24
,,,,,11   sonstige ordentliche Erträge, -      , -      ,5240.16,766.92,5240.16,-4473.24
,,1.100.3.6.3.06.42  Mündelgelder,,,, -      ,-3000,-4805.88,-4816.6,-1805.88,-10.72
,,,Aufwand,,, -      ,-3000,-4859.16,-4824.52,-1859.16,34.64
,,,,nein,, -      ,-3000,-4859.16,-4824.52,-1859.16,34.64
,,,,,13   Aufwendungen für aktives Personal, -      , -      ,-497.16,-457.96,-497.16,39.2
,,,,,14   Aufwendungen für Versorgung, -      , -      ,-112.68,-120,-112.68,-7.32
,,,,,15   Aufwendungen für Sach-/Dienstleistungen, -      ,-3000,-4005.4,-4005.32,-1005.4,0.08
,,,,,16   Abschreibungen, -      , -      ,-10,-7.44,-10,2.56
,,,,,19   sonstige ordentliche Aufwendungen, -      , -      ,-233.92,-233.8,-233.92,0.12
,,,Ertrag,,, -      , -      ,53.28,7.92,53.28,-45.36
,,,,nein,, -      , -      ,53.28,7.92,53.28,-45.36
,,,,,11   sonstige ordentliche Erträge, -      , -      ,53.28,7.92,53.28,-45.36
,,1.100.3.6.3.06.43  Beistandschaften,,,, -      ,-590387.39,-615942.97,-626543.64,-25555.58,-10600.67
,,,Aufwand,,, -      ,-590387.39,-657803.41,-632774.64,-67416.02,25028.77
,,,,nein,, -      ,-590387.39,-657803.41,-632774.64,-67416.02,25028.77
,,,,,13   Aufwendungen für aktives Personal, -      ,-479631.84,-530081.13,-500591,-50449.29,29490.13
,,,,,14   Aufwendungen für Versorgung, -      ,-91382.63,-88384.24,-94353,2998.39,-5968.76
,,,,,15   Aufwendungen für Sach-/Dienstleistungen, -      ,-919.8,-1364,-1371.92,-444.2,-7.92
,,,,,16   Abschreibungen, -      ,-1523.4,-1417.4,-1069.08,106,348.32
,,,,,19   sonstige ordentliche Aufwendungen, -      ,-16929.72,-36556.64,-35389.64,-19626.92,1167
,,,Ertrag,,, -      , -      ,41860.44,6231,41860.44,-35629.44
,,,,nein,, -      , -      ,41860.44,6231,41860.44,-35629.44
,,,,,11   sonstige ordentliche Erträge, -      , -      ,41860.44,6231,41860.44,-35629.44
,1.100.3.6.3.07  Eltern- und Betreuungsgeld,,,,,-1554.74,-62853.04,-100086.84,-101724.84,-37233.8,-1638
,,1.100.3.6.3.07.21  Betreuungsgeld,,,,-310.93,-4137.12,-1960.64,-1959.56,2176.48,1.08
,,,Aufwand,,,-312.69,-4137.12,-1973.12,-1961.36,2164,11.76
,,,,nein,,-312.69,-4137.12,-1973.12,-1961.36,2164,11.76
,,,,,13   Aufwendungen für aktives Personal,-160.76,-1234.44,-130.8,-119.76,1103.64,11.04
,,,,,14   Aufwendungen für Versorgung,-7.79,-264.48,-26.4,-27.6,238.08,-1.2
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-0.76,-73.32,-4.68,-4.68,68.64, -      
,,,,,16   Abschreibungen, -      ,-23.88,-1.56,-1.32,22.32,0.24
,,,,,19   sonstige ordentliche Aufwendungen,-138.47,-2541,-1809.68,-1808,731.32,1.68
,,,,,24   außerordentliche Aufwendungen,-4.91, -      , -      , -      , -      , -      
,,,Ertrag,,,1.76, -      ,12.48,1.8,12.48,-10.68
,,,,nein,,1.76, -      ,12.48,1.8,12.48,-10.68
,,,,,11   sonstige ordentliche Erträge,1.76, -      ,12.48,1.8,12.48,-10.68
,,1.100.3.6.3.07.22  Elterngeld,,,,-1243.81,-58715.92,-98126.2,-99765.28,-39410.28,-1639.08
,,,Aufwand,,,-1250.87,-243915.92,-279725.16,-277874.28,-35809.24,1850.88
,,,,nein,,-1250.87,-243915.92,-279725.16,-277874.28,-35809.24,1850.88
,,,,,13   Aufwendungen für aktives Personal,-643.15,-230437.8,-259783.2,-257377.44,-29345.4,2405.76
,,,,,14   Aufwendungen für Versorgung,-31.18,-7007.64,-8654.52,-9222.12,-1646.88,-567.6
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-3.06,-293.2,-311.8,-311.8,-18.6, -      
,,,,,16   Abschreibungen, -      ,-95.64,-101.76,-92.04,-6.12,9.72
,,,,,19   sonstige ordentliche Aufwendungen,-553.86,-6081.64,-10873.88,-10870.88,-4792.24,3
,,,,,24   außerordentliche Aufwendungen,-19.62, -      , -      , -      , -      , -      
,,,Ertrag,,,7.06,185200,181598.96,178109,-3601.04,-3489.96
,,,,nein,,7.06,185200,181598.96,178109,-3601.04,-3489.96
,,,,,  7   Kostenerstattungen und Kostenumlagen, -      ,185200,177500,177500,-7700, -      
,,,,,11   sonstige ordentliche Erträge,7.06, -      ,4098.96,609,4098.96,-3489.96
,1.100.3.6.5.01  Tageseinrichtungen z.Förderung v.Kindern,,,,,-34343015.56,-38036847.36,-40449654.64,-41437098.6,-2412807.28,-987443.96
,,1.100.3.6.5.01.01  KiTas in evangelischer Trägerschaft,,,,-9283899.18,-8818844.96,-9228912.76,-9502280.92,-410067.8,-273368.16
,,,Aufwand,,,-9320571.38,-8852512.52,-9268977.4,-9540042.64,-416464.88,-271065.24
,,,,nein,,-9320571.38,-8852512.52,-9268977.4,-9540042.64,-416464.88,-271065.24
,,,,,13   Aufwendungen für aktives Personal,-60588.8,-200996.36,-134918.48,-133223.04,66077.88,1695.44
,,,,,14   Aufwendungen für Versorgung,-1842.6,-6875.64,-5710.92,-6085.32,1164.72,-374.4
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-1557.87, -      ,-4257.12,-4257.12,-4257.12,0
,,,,,16   Abschreibungen,-214607.81,-262040.52,-258082.2,-260170.8,3958.32,-2088.6
,,,,,18   Transferaufwendungen,-8673630.1,-8013000,-8460200,-8730500,-447200,-270300
,,,,,19   sonstige ordentliche Aufwendungen,-368344.2,-369600,-405808.68,-405806.36,-36208.68,2.32
,,,Ertrag,,,36672.2,33667.56,40064.64,37761.72,6397.08,-2302.92
,,,,nein,,36672.2,33667.56,40064.64,37761.72,6397.08,-2302.92
,,,,,  3   Auflösungserträge aus Sonderposten,36672.2,33667.56,37359.84,37359.84,3692.28,0
,,,,,11   sonstige ordentliche Erträge, -      , -      ,2704.8,401.88,2704.8,-2302.92
,,1.100.3.6.5.01.02  KiTas in katholischer Trägerschaft,,,,-9756152.38,-9566543.28,-9314312.76,-9593080.92,252230.52,-278768.16
,,,Aufwand,,,-9843692.46,-9646910.96,-9354377.4,-9630842.64,292533.56,-276465.24
,,,,nein,,-9843692.46,-9646910.96,-9354377.4,-9630842.64,292533.56,-276465.24
,,,,,13   Aufwendungen für aktives Personal,-74032.29,-245593.56,-134918.48,-133223.04,110675.08,1695.44
,,,,,14   Aufwendungen für Versorgung,-2251.46,-8401.32,-5710.92,-6085.32,2690.4,-374.4
,,,,,15   Aufwendungen für Sach-/Dienstleistungen, -      , -      ,-4257.12,-4257.12,-4257.12,0
,,,,,16   Abschreibungen,-512289.63,-625516.08,-258082.2,-260170.8,367433.88,-2088.6
,,,,,18   Transferaufwendungen,-9127894,-8640200,-8790400,-9066100,-150200,-275700
,,,,,19   sonstige ordentliche Aufwendungen,-127225.08,-127200,-161008.68,-161006.36,-33808.68,2.32
,,,Ertrag,,,87540.08,80367.68,40064.64,37761.72,-40303.04,-2302.92
,,,,nein,,87540.08,80367.68,40064.64,37761.72,-40303.04,-2302.92
,,,,,  3   Auflösungserträge aus Sonderposten,87540.08,80367.68,37359.84,37359.84,-43007.84,0
,,,,,11   sonstige ordentliche Erträge, -      , -      ,2704.8,401.88,2704.8,-2302.92
,,1.100.3.6.5.01.03  KiTas in finanzschwacher Trägerschaft,,,,-11041127.16,-12170016.8,-13332047.6,-13734116.64,-1162030.8,-402069.04
,,,Aufwand,,,-11095113.51,-12211131.56,-13402160.64,-13800199.48,-1191029.08,-398038.84
,,,,nein,,-11095113.51,-12211131.56,-13402160.64,-13800199.48,-1191029.08,-398038.84
,,,,,13   Aufwendungen für aktives Personal,-144675.77,-479945.24,-236107.32,-233140.28,243837.92,2967.04
,,,,,14   Aufwendungen für Versorgung,-4399.82,-16417.92,-9994.2,-10649.28,6423.72,-655.08
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-157431.77,-159765,-167249.96,-167249.96,-7484.96,0
,,,,,16   Abschreibungen,-262078.67,-320003.4,-451643.88,-455298.92,-131640.48,-3655.04
,,,,,18   Transferaufwendungen,-10352364.52,-11060500,-12299400,-12696100,-1238900,-396700
,,,,,19   sonstige ordentliche Aufwendungen,-174162.96,-174500,-237765.28,-237761.04,-63265.28,4.24
,,,Ertrag,,,53986.35,41114.76,70113.04,66082.84,28998.28,-4030.2
,,,,nein,,53986.35,41114.76,70113.04,66082.84,28998.28,-4030.2
,,,,,  3   Auflösungserträge aus Sonderposten,44784.02,41114.76,65379.64,65379.64,24264.88,0
,,,,,11   sonstige ordentliche Erträge, -      , -      ,4733.4,703.2,4733.4,-4030.2
,,,,,18   Transferaufwendungen,9202.33, -      , -      , -      , -      , -      
,,1.100.3.6.5.01.04  KiTa Martinsburg,,,,-594238.69,-651968.68,-746526.04,-746807.48,-94557.36,-281.44
,,,Aufwand,,,-950738.97,-940288.68,-1054939.48,-1057990.64,-114650.8,-3051.16
,,,,nein,,-950738.97,-940288.68,-1054939.48,-1057990.64,-114650.8,-3051.16
,,,,,  2   Zuwendungen und allgemeine Umlagen, -      , -      , -      , -      , -      , -      
,,,,,  6   privatrechtliche Entgelte, -      , -      , -      , -      , -      , -      
,,,,,13   Aufwendungen für aktives Personal,-735856.65,-714853.2,-807297.08,-810753.52,-92443.88,-3456.44
,,,,,14   Aufwendungen für Versorgung,-289.93,-1081.8,-571.08,-608.52,510.72,-37.44
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-32967.99,-39346.68,-39055.76,-38855.76,290.92,200
,,,,,16   Abschreibungen,-18446.67,-3992.96,-42311.68,-42080.48,-38318.72,231.2
,,,,,19   sonstige ordentliche Aufwendungen,-162265.24,-181014.04,-165703.88,-165692.36,15310.16,11.52
,,,,,24   außerordentliche Aufwendungen,-912.49, -      , -      , -      , -      , -      
,,,Ertrag,,,356500.28,288320,308413.44,311183.16,20093.44,2769.72
,,,,nein,,356500.28,288320,308413.44,311183.16,20093.44,2769.72
,,,,,  2   Zuwendungen und allgemeine Umlagen,227353.17,158300,156900,159900,-1400,3000
,,,,,  3   Auflösungserträge aus Sonderposten,4985.51,320,8742.96,8742.96,8422.96,0
,,,,,  6   privatrechtliche Entgelte,123508.86,129700,142500,142500,12800, -      
,,,,,11   sonstige ordentliche Erträge,328.16, -      ,270.48,40.2,270.48,-230.28
,,,,,23   außerordentliche Erträge,324.58, -      , -      , -      , -      , -      
,,1.100.3.6.5.01.05  KiTa Schinkel,,,,-875072.06,-780253.8,-977952.56,-976663.32,-197698.76,1289.24
,,,Aufwand,,,-1210004.19,-1246293.8,-1430661.28,-1435026.56,-184367.48,-4365.28
,,,,nein,,-1210004.19,-1246293.8,-1430661.28,-1435026.56,-184367.48,-4365.28
,,,,,13   Aufwendungen für aktives Personal,-1006451.34,-1013937,-1180200.08,-1184488.12,-166263.08,-4288.04
,,,,,14   Aufwendungen für Versorgung,-308.05,-1149.36,-856.68,-912.84,292.68,-56.16
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-38385.27,-49130.92,-44148.52,-43948.52,4982.4,200
,,,,,16   Abschreibungen,-11367.45,-11027.04,-48491.4,-48730.6,-37464.36,-239.2
,,,,,19   sonstige ordentliche Aufwendungen,-152522.56,-171049.48,-156964.6,-156946.48,14084.88,18.12
,,,,,24   außerordentliche Aufwendungen,-969.52, -      , -      , -      , -      , -      
,,,Ertrag,,,334932.13,466040,452708.72,458363.24,-13331.28,5654.52
,,,,nein,,334932.13,466040,452708.72,458363.24,-13331.28,5654.52
,,,,,  2   Zuwendungen und allgemeine Umlagen,168866.92,301900,259700,265700,-42200,6000
,,,,,  3   Auflösungserträge aus Sonderposten,2040,2040,6503,6503,4463,0
,,,,,  6   privatrechtliche Entgelte,163331.67,162100,186100,186100,24000, -      
,,,,,11   sonstige ordentliche Erträge,348.67, -      ,405.72,60.24,405.72,-345.48
,,,,,23   außerordentliche Erträge,344.87, -      , -      , -      , -      , -      
,,1.100.3.6.5.01.06  KiTa Pye,,,,-857871.07,-886699.44,-1115196.4,-1114111.92,-228496.96,1084.48
,,,Aufwand,,,-1283019.7,-1304909.44,-1636406.12,-1640976.16,-331496.68,-4570.04
,,,,nein,,-1283019.7,-1304909.44,-1636406.12,-1640976.16,-331496.68,-4570.04
,,,,,13   Aufwendungen für aktives Personal,-1031323.72,-1015404.88,-1298676.96,-1303270.28,-283272.08,-4593.32
,,,,,14   Aufwendungen für Versorgung,-289.95,-1081.8,-856.68,-912.84,225.12,-56.16
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-32214.72,-51346.68,-65438.52,-65238.52,-14091.84,200
,,,,,16   Abschreibungen,-17088.28,-14966.2,-62113.36,-62254.56,-47147.16,-141.2
,,,,,19   sonstige ordentliche Aufwendungen,-201190.54,-222109.88,-209320.6,-209299.96,12789.28,20.64
,,,,,24   außerordentliche Aufwendungen,-912.49, -      , -      , -      , -      , -      
,,,Ertrag,,,425148.63,418210,521209.72,526864.24,102999.72,5654.52
,,,,nein,,425148.63,418210,521209.72,526864.24,102999.72,5654.52
,,,,,  2   Zuwendungen und allgemeine Umlagen,270577.04,264300,354100,360100,89800,6000
,,,,,  3   Auflösungserträge aus Sonderposten,128,110,5604,5604,5494,0
,,,,,  6   privatrechtliche Entgelte,153790.85,153800,161100,161100,7300, -      
,,,,,11   sonstige ordentliche Erträge,328.16, -      ,405.72,60.24,405.72,-345.48
,,,,,23   außerordentliche Erträge,324.58, -      , -      , -      , -      , -      
,,1.100.3.6.5.01.07  KiTa Atter,,,,-748256.56,-747002.2,-846083.48,-844420.24,-99081.28,1663.24
,,,Aufwand,,,-1106913.52,-1131682.2,-1386050.4,-1390008.32,-254368.2,-3957.92
,,,,nein,,-1106913.52,-1131682.2,-1386050.4,-1390008.32,-254368.2,-3957.92
,,,,,  3   Auflösungserträge aus Sonderposten, -      , -      ,-97.96,-96.6,-97.96,1.36
,,,,,11   sonstige ordentliche Erträge, -      , -      ,-6.84,-0.96,-6.84,5.88
,,,,,13   Aufwendungen für aktives Personal,-916910.06,-923194.04,-1118704.72,-1122825.44,-195510.68,-4120.72
,,,,,14   Aufwendungen für Versorgung,-199.34,-743.76,-871.08,-928.08,-127.32,-57
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-38259.95,-49925.8,-66397.8,-66195.76,-16472,202.04
,,,,,16   Abschreibungen,-8797.15,-5325.52,-53697.48,-53706.4,-48371.96,-8.92
,,,,,19   sonstige ordentliche Aufwendungen,-142119.69,-152493.08,-146274.52,-146255.08,6218.56,19.44
,,,,,24   außerordentliche Aufwendungen,-627.33, -      , -      , -      , -      , -      
,,,Ertrag,,,358656.96,384680,539966.92,545588.08,155286.92,5621.16
,,,,nein,,358656.96,384680,539966.92,545588.08,155286.92,5621.16
,,,,,  2   Zuwendungen und allgemeine Umlagen,238394.92,277500,377300,383300,99800,6000
,,,,,  3   Auflösungserträge aus Sonderposten,194.83,80,5904.96,5903.6,5824.96,-1.36
,,,,,  6   privatrechtliche Entgelte,119618.45,107100,152200,152200,45100, -      
,,,,,11   sonstige ordentliche Erträge,225.61, -      ,412.56,61.2,412.56,-351.36
,,,,,13   Aufwendungen für aktives Personal, -      , -      ,2945.76,2934.76,2945.76,-11
,,,,,14   Aufwendungen für Versorgung, -      , -      ,14.4,15.24,14.4,0.84
,,,,,15   Aufwendungen für Sach-/Dienstleistungen, -      , -      ,149.28,147.24,149.28,-2.04
,,,,,16   Abschreibungen, -      , -      ,848.08,836.8,848.08,-11.28
,,,,,19   sonstige ordentliche Aufwendungen, -      , -      ,191.88,189.24,191.88,-2.64
,,,,,23   außerordentliche Erträge,223.15, -      , -      , -      , -      , -      
,,1.100.3.6.5.01.08  KiTa Heiligenweg,,,,-633937.03,-642174.88,-793749.88,-795953.44,-151575,-2203.56
,,,Aufwand,,,-864555.15,-868824.88,-987749.32,-989722.6,-118924.44,-1973.28
,,,,nein,,-864555.15,-868824.88,-987749.32,-989722.6,-118924.44,-1973.28
,,,,,13   Aufwendungen für aktives Personal,-630446.01,-610224,-715030.96,-718215.84,-104806.96,-3184.88
,,,,,14   Aufwendungen für Versorgung,-181.23,-676.08,-571.08,-608.52,105,-37.44
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-24452.7,-38741.6,-36125.76,-36025.76,2615.84,100
,,,,,16   Abschreibungen,-9219.4,-5248.04,-29257.32,-28118.12,-24009.28,1139.2
,,,,,19   sonstige ordentliche Aufwendungen,-199685.51,-213935.16,-206764.2,-206754.36,7170.96,9.84
,,,,,24   außerordentliche Aufwendungen,-570.3, -      , -      , -      , -      , -      
,,,Ertrag,,,230618.12,226650,193999.44,193769.16,-32650.56,-230.28
,,,,nein,,230618.12,226650,193999.44,193769.16,-32650.56,-230.28
,,,,,  2   Zuwendungen und allgemeine Umlagen,130823.79,121700,79700,79700,-42000, -      
,,,,,  3   Auflösungserträge aus Sonderposten,2153.88,2150,5928.96,5928.96,3778.96,0
,,,,,  6   privatrechtliche Entgelte,97232.48,102800,108100,108100,5300, -      
,,,,,11   sonstige ordentliche Erträge,205.1, -      ,270.48,40.2,270.48,-230.28
,,,,,23   außerordentliche Erträge,202.87, -      , -      , -      , -      , -      
,,1.100.3.6.5.01.09  KiTa Haste,,,,-658961.87,-758573.56,-815252.04,-815962.96,-56678.48,-710.92
,,,Aufwand,,,-995593.82,-1062723.56,-1131819.76,-1135185.2,-69096.2,-3365.44
,,,,nein,,-995593.82,-1062723.56,-1131819.76,-1135185.2,-69096.2,-3365.44
,,,,,13   Aufwendungen für aktives Personal,-743963.17,-775551,-822266.4,-825658.48,-46715.4,-3392.08
,,,,,14   Aufwendungen für Versorgung,-271.81,-1014.24,-856.68,-912.84,157.56,-56.16
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-24734.45,-41662.72,-38618.52,-38418.52,3044.2,200
,,,,,16   Abschreibungen,-10877.99,-10162.08,-47473.28,-47602.48,-37311.2,-129.2
,,,,,19   sonstige ordentliche Aufwendungen,-214890.94,-234333.52,-222604.88,-222592.88,11728.64,12
,,,,,24   außerordentliche Aufwendungen,-855.46, -      , -      , -      , -      , -      
,,,Ertrag,,,336631.95,304150,316567.72,319222.24,12417.72,2654.52
,,,,nein,,336631.95,304150,316567.72,319222.24,12417.72,2654.52
,,,,,  2   Zuwendungen und allgemeine Umlagen,166892.66,160000,154600,157600,-5400,3000
,,,,,  3   Auflösungserträge aus Sonderposten,611.56,450,6062,6062,5612,0
,,,,,  5   öffentlich-rechtliche Entgelte,60, -      , -      , -      , -      , -      
,,,,,  6   privatrechtliche Entgelte,143783.19,143700,155500,155500,11800, -      
,,,,,  7   Kostenerstattungen und Kostenumlagen,23822.59, -      , -      , -      , -      , -      
,,,,,11   sonstige ordentliche Erträge,307.65, -      ,405.72,60.24,405.72,-345.48
,,,,,16   Abschreibungen,450, -      , -      , -      , -      , -      
,,,,,23   außerordentliche Erträge,704.3, -      , -      , -      , -      , -      
,,1.100.3.6.5.01.10  KiTa Lüstringen,,,,-767989.93,-800844.52,-943726.6,-941812.8,-142882.08,1913.8
,,,Aufwand,,,-1293942.04,-1302244.52,-1495036.32,-1498777.04,-192791.8,-3740.72
,,,,nein,,-1293942.04,-1302244.52,-1495036.32,-1498777.04,-192791.8,-3740.72
,,,,,13   Aufwendungen für aktives Personal,-1077034.6,-1059555.96,-1192299.52,-1196623,-132743.56,-4323.48
,,,,,14   Aufwendungen für Versorgung,-199.33,-743.76,-856.68,-912.84,-112.92,-56.16
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-39871.95,-60125.92,-68838.52,-68638.52,-8712.6,200
,,,,,16   Abschreibungen,-9953.31,-6492.44,-64660.32,-64239.52,-58167.88,420.8
,,,,,19   sonstige ordentliche Aufwendungen,-166255.52,-175326.44,-168381.28,-168363.16,6945.16,18.12
,,,,,24   außerordentliche Aufwendungen,-627.33, -      , -      , -      , -      , -      
,,,Ertrag,,,525952.11,501400,551309.72,556964.24,49909.72,5654.52
,,,,nein,,525952.11,501400,551309.72,556964.24,49909.72,5654.52
,,,,,  2   Zuwendungen und allgemeine Umlagen,369880.67,351200,371600,377600,20400,6000
,,,,,  3   Auflösungserträge aus Sonderposten, -      , -      ,5604,5604,5604,0
,,,,,  6   privatrechtliche Entgelte,148596.76,148200,171400,171400,23200, -      
,,,,,  7   Kostenerstattungen und Kostenumlagen,7025.92,2000,2300,2300,300, -      
,,,,,11   sonstige ordentliche Erträge,225.61, -      ,405.72,60.24,405.72,-345.48
,,,,,23   außerordentliche Erträge,223.15, -      , -      , -      , -      , -      
,,1.100.3.6.5.01.11  KiTa Wüste,,,,-659864.35,-761744.68,-823800.92,-823706.08,-62056.24,94.84
,,,Aufwand,,,-1108758.93,-1132864.68,-1277536.64,-1280096.32,-144671.96,-2559.68
,,,,nein,,-1108758.93,-1132864.68,-1277536.64,-1280096.32,-144671.96,-2559.68
,,,,,13   Aufwendungen für aktives Personal,-832171.14,-831865.28,-932964.4,-936634.4,-101099.12,-3670
,,,,,14   Aufwendungen für Versorgung,-253.71,-946.56,-856.68,-912.84,89.88,-56.16
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-38362.65,-52278.28,-59208.52,-59008.52,-6930.24,200
,,,,,16   Abschreibungen,-9416.8,-5834.68,-52959.48,-52006.68,-47124.8,952.8
,,,,,19   sonstige ordentliche Aufwendungen,-227756.21,-241939.88,-231547.56,-231533.88,10392.32,13.68
,,,,,24   außerordentliche Aufwendungen,-798.42, -      , -      , -      , -      , -      
,,,Ertrag,,,448894.58,371120,453735.72,456390.24,82615.72,2654.52
,,,,nein,,448894.58,371120,453735.72,456390.24,82615.72,2654.52
,,,,,  2   Zuwendungen und allgemeine Umlagen,347045.22,270400,338000,341000,67600,3000
,,,,,  3   Auflösungserträge aus Sonderposten,126.44,120,5730,5730,5610,0
,,,,,  6   privatrechtliche Entgelte,101151.77,100600,109600,109600,9000, -      
,,,,,11   sonstige ordentliche Erträge,287.14, -      ,405.72,60.24,405.72,-345.48
,,,,,23   außerordentliche Erträge,284.01, -      , -      , -      , -      , -      
,,1.100.3.6.5.01.12  KiTa Schölerberg,,,,-623340.92,-827436.68,-939419.92,-940151.96,-111983.24,-732.04
,,,Aufwand,,,-1162434.03,-1284256.68,-1413429.28,-1416816.2,-129172.6,-3386.92
,,,,nein,,-1162434.03,-1284256.68,-1413429.28,-1416816.2,-129172.6,-3386.92
,,,,,  6   privatrechtliche Entgelte, -      , -      , -      , -      , -      , -      
,,,,,13   Aufwendungen für aktives Personal,-917675.98,-1006976,-1094199.68,-1098273.56,-87223.68,-4073.88
,,,,,14   Aufwendungen für Versorgung,-271.8,-1014.24,-856.44,-912.36,157.8,-55.92
,,,,,15   Aufwendungen für Sach-/Dienstleistungen,-36772.99,-49163.84,-65238.72,-65038.72,-16074.88,200
,,,,,16   Abschreibungen,-21033.79,-20048.36,-57880.36,-57354.52,-37832,525.84
,,,,,19   sonstige ordentliche Aufwendungen,-185824,-207054.24,-195254.08,-195237.04,11800.16,17.04
,,,,,24   außerordentliche Aufwendungen,-855.47, -      , -      , -      , -      , -      
,,,Ertrag,,,539093.11,456820,474009.36,476664.24,17189.36,2654.88
,,,,nein,,539093.11,456820,474009.36,476664.24,17189.36,2654.88
,,,,,  2   Zuwendungen und allgemeine Umlagen,384786.28,302620,307500,310500,4880,3000
