OE;Produkt;Teilprodukt;Kostenartengruppe;2018 (Plan);Ertrag/Aufwand;Interne Leist. 
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;5   öffentlich-rechtliche Entgelte;0;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;27   Aufw. aus int. Leistungsbeziehungen;-461;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;3   Auflösungserträge aus Sonderposten;2;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;11   sonstige ordentliche Erträge;1;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;13   Aufwendungen für aktives Personal;-3548;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;14   Aufwendungen für Versorgung;-12;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;15   Aufwendungen für Sach-/Dienstleistungen;-182;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;19   sonstige ordentliche Aufwendungen;-1699;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;16   Abschreibungen;-140;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;27   Aufw. aus int. Leistungsbeziehungen;-46;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;5   öffentlich-rechtliche Entgelte;9800;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;13   Aufwendungen für aktives Personal;-10000;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;27   Aufw. aus int. Leistungsbeziehungen;-2306;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;3   Auflösungserträge aus Sonderposten;5;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;11   sonstige ordentliche Erträge;2;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;13   Aufwendungen für aktives Personal;-7793;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;14   Aufwendungen für Versorgung;-29;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;15   Aufwendungen für Sach-/Dienstleistungen;-399;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;19   sonstige ordentliche Aufwendungen;-3731;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;16   Abschreibungen;-307;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;27   Aufw. aus int. Leistungsbeziehungen;-107;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;2   Zuwendungen und allgemeine Umlagen;16500;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;5   öffentlich-rechtliche Entgelte;8500;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;6   privatrechtliche Entgelte;6000;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;26   Erträge aus int. Leistungsbeziehungen;0;Ertrag;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;13   Aufwendungen für aktives Personal;-700;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;15   Aufwendungen für Sach-/Dienstleistungen;-3800;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;15   Aufwendungen für Sach-/Dienstleistungen;-2500;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;15   Aufwendungen für Sach-/Dienstleistungen;-4000;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;15   Aufwendungen für Sach-/Dienstleistungen;-20000;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;27   Aufw. aus int. Leistungsbeziehungen;-247;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;27   Aufw. aus int. Leistungsbeziehungen;0;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;3   Auflösungserträge aus Sonderposten;1;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;11   sonstige ordentliche Erträge;0;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;13   Aufwendungen für aktives Personal;-1204;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;14   Aufwendungen für Versorgung;-4;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;15   Aufwendungen für Sach-/Dienstleistungen;-62;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;19   sonstige ordentliche Aufwendungen;-576;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;16   Abschreibungen;-48;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;27   Aufw. aus int. Leistungsbeziehungen;-15;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;2   Zuwendungen und allgemeine Umlagen;0;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;27   Aufw. aus int. Leistungsbeziehungen;-1633;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;3   Auflösungserträge aus Sonderposten;8;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;11   sonstige ordentliche Erträge;3;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;13   Aufwendungen für aktives Personal;-12576;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;14   Aufwendungen für Versorgung;-45;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;15   Aufwendungen für Sach-/Dienstleistungen;-644;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;19   sonstige ordentliche Aufwendungen;-6022;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;16   Abschreibungen;-496;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;27   Aufw. aus int. Leistungsbeziehungen;-167;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;6   privatrechtliche Entgelte;15500;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;15   Aufwendungen für Sach-/Dienstleistungen;-12000;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;27   Aufw. aus int. Leistungsbeziehungen;-2651;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;3   Auflösungserträge aus Sonderposten;13;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;11   sonstige ordentliche Erträge;4;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;13   Aufwendungen für aktives Personal;-20416;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;14   Aufwendungen für Versorgung;-71;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;15   Aufwendungen für Sach-/Dienstleistungen;-1046;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;19   sonstige ordentliche Aufwendungen;-9777;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;16   Abschreibungen;-805;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.07 Gemeinschaftszentrum Ziegenbrink;27   Aufw. aus int. Leistungsbeziehungen;-266;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.09 STT Heinz-Fitschen-Haus;7   Kostenerstattungen und Kostenumlagen;6000;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.09 STT Heinz-Fitschen-Haus;27   Aufw. aus int. Leistungsbeziehungen;-2992;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.09 STT Heinz-Fitschen-Haus;3   Auflösungserträge aus Sonderposten;174;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.09 STT Heinz-Fitschen-Haus;11   sonstige ordentliche Erträge;7;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.09 STT Heinz-Fitschen-Haus;13   Aufwendungen für aktives Personal;-22992;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.09 STT Heinz-Fitschen-Haus;14   Aufwendungen für Versorgung;-130;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.09 STT Heinz-Fitschen-Haus;15   Aufwendungen für Sach-/Dienstleistungen;-1290;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.09 STT Heinz-Fitschen-Haus;19   sonstige ordentliche Aufwendungen;-3969;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.09 STT Heinz-Fitschen-Haus;16   Abschreibungen;-846;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.09 STT Heinz-Fitschen-Haus;27   Aufw. aus int. Leistungsbeziehungen;-487;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.09 STT Heinz-Fitschen-Haus;2   Zuwendungen und allgemeine Umlagen;2400;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.09 STT Heinz-Fitschen-Haus;5   öffentlich-rechtliche Entgelte;2000;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.09 STT Heinz-Fitschen-Haus;13   Aufwendungen für aktives Personal;-3000;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.09 STT Heinz-Fitschen-Haus;15   Aufwendungen für Sach-/Dienstleistungen;-500;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.09 STT Heinz-Fitschen-Haus;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.09 STT Heinz-Fitschen-Haus;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.09 STT Heinz-Fitschen-Haus;15   Aufwendungen für Sach-/Dienstleistungen;-5000;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.09 STT Heinz-Fitschen-Haus;15   Aufwendungen für Sach-/Dienstleistungen;-2500;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.09 STT Heinz-Fitschen-Haus;15   Aufwendungen für Sach-/Dienstleistungen;-1500;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.09 STT Heinz-Fitschen-Haus;15   Aufwendungen für Sach-/Dienstleistungen;-500;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.09 STT Heinz-Fitschen-Haus;19   sonstige ordentliche Aufwendungen;-300;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.09 STT Heinz-Fitschen-Haus;27   Aufw. aus int. Leistungsbeziehungen;-6447;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.09 STT Heinz-Fitschen-Haus;27   Aufw. aus int. Leistungsbeziehungen;-200;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.09 STT Heinz-Fitschen-Haus;3   Auflösungserträge aus Sonderposten;353;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.09 STT Heinz-Fitschen-Haus;11   sonstige ordentliche Erträge;15;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.09 STT Heinz-Fitschen-Haus;13   Aufwendungen für aktives Personal;-46549;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.09 STT Heinz-Fitschen-Haus;14   Aufwendungen für Versorgung;-265;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.09 STT Heinz-Fitschen-Haus;15   Aufwendungen für Sach-/Dienstleistungen;-2417;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.09 STT Heinz-Fitschen-Haus;19   sonstige ordentliche Aufwendungen;-8037;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.09 STT Heinz-Fitschen-Haus;16   Abschreibungen;-1689;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.09 STT Heinz-Fitschen-Haus;27   Aufw. aus int. Leistungsbeziehungen;-989;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.09 STT Heinz-Fitschen-Haus;2   Zuwendungen und allgemeine Umlagen;0;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.09 STT Heinz-Fitschen-Haus;5   öffentlich-rechtliche Entgelte;1000;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.09 STT Heinz-Fitschen-Haus;13   Aufwendungen für aktives Personal;-500;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.09 STT Heinz-Fitschen-Haus;15   Aufwendungen für Sach-/Dienstleistungen;-2500;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.09 STT Heinz-Fitschen-Haus;15   Aufwendungen für Sach-/Dienstleistungen;-8000;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.09 STT Heinz-Fitschen-Haus;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.09 STT Heinz-Fitschen-Haus;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.09 STT Heinz-Fitschen-Haus;27   Aufw. aus int. Leistungsbeziehungen;-5278;Aufwand;ja
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.09 STT Heinz-Fitschen-Haus;3   Auflösungserträge aus Sonderposten;304;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.09 STT Heinz-Fitschen-Haus;11   sonstige ordentliche Erträge;13;Ertrag;nein
(51) FB  Kinder, Jugendliche  und Familien;1.100.3.6.6.01 Einrichtungen der Kinder-u.Jugendarbeit;1.100.3.6.6.01.09 STT Heinz-Fitschen-Haus;13   Aufwendungen für aktives Personal;-40060;Aufwand;nein
